Invoice Date,Transaction Type,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
2024-06-01 23:30:38,Shipment,304-9859422-4115432,2024-06-04 16:06:25,2024-06-01 19:30:25,393060105839,Product A,1782.0
2024-06-01 23:31:52,Shipment,304-2462868-6236197,2024-06-02 15:42:54,2024-06-01 19:31:39,392610897986,Product A,220.0
2024-06-01 23:33:18,Shipment,504-8774925-8653811,2024-06-02 13:06:13,2024-06-01 19:30:19,393034716938,Product A,559.0
2024-06-01 23:36:10,Shipment,171-2151511-7534660,2024-06-02 03:05:36,2024-06-01 19:31:33,392610908470,Product A,321.0
2024-06-01 23:36:10,Refund,171-2151511-7534660,2024-06-02 03:05:36,2024-06-01 19:31:33,392610908470,Product A,-321.0
2024-06-01 23:43:12,Cancel,604-5170820-8599230,,,392022006723,,0.0
2024-06-01 23:43:12,Cancel,604-5170820-8599230,,,393623994259,,0.0
2024-06-01 23:47:06,Shipment,404-5157919-7330058,2024-06-02 17:00:13,2024-06-01 17:16:40,392024109611,Product A,1121.0
2024-06-01 23:47:46,Shipment,604-5170820-8599230,2024-06-04 15:59:47,2024-06-01 19:37:25,393611520077,Product A,1473.0
2024-06-01 23:47:51,Cancel,404-3646468-4057097,,,393588386150,,0.0
2024-06-01 23:51:47,Shipment,504-6985699-3493159,2024-06-02 22:25:36,2024-06-01 19:51:43,392012843623,Product A,799.0
2024-06-01 23:51:47,Refund,504-6985699-3493159,2024-06-02 22:25:36,2024-06-01 19:51:43,392012843623,Product A,-799.0
2024-06-01 23:52:45,Shipment,604-5170820-8599230,2024-06-04 16:06:20,2024-06-01 19:37:25,393574142546,Product A,2135.0
2024-06-01 23:55:27,Shipment,304-4823154-2572893,2024-06-02 10:24:14,2024-06-01 19:52:56,393598596769,Product A,632.0
2024-06-01 23:55:44,Shipment,604-4532023-9617186,2024-06-02 09:14:34,2024-06-01 15:09:21,393624888959,Product A,321.0
2024-06-01 23:56:09,Shipment,171-0433782-5117347,2024-06-02 15:33:04,2024-06-01 19:55:45,393054004248,Product A,245.0
2024-06-01 23:59:34,Shipment,204-5755723-0659759,2024-06-03 20:00:17,2024-06-01 19:48:15,393612841184,Product A,361.0
2024-06-02 00:01:36,Shipment,171-6663427-8176879,2024-06-05 15:51:44,2024-06-01 19:57:52,392610980396,Product A,626.0
2024-06-02 00:02:16,Shipment,404-9387060-5313902,2024-06-02 18:27:34,2024-06-01 20:01:28,393604375834,Product A,387.0
2024-06-02 00:03:17,Shipment,204-8047149-1093525,2024-06-02 15:31:18,2024-06-01 20:02:57,393069775948,Product A,572.0
2024-06-02 00:03:17,Refund,204-8047149-1093525,2024-06-02 15:31:18,2024-06-01 20:02:57,393069775948,Product A,-572.0
2024-06-02 00:03:18,Shipment,304-4977486-2215019,2024-06-02 15:29:57,2024-06-01 20:02:17,392610985248,Product A,572.0
2024-06-02 00:07:08,Shipment,604-3579318-5070797,2024-06-02 14:25:16,2024-06-01 18:45:06,392055428543,Product A,1836.0
2024-06-02 00:07:13,Shipment,304-0640754-0330629,2024-06-03 15:47:59,2024-06-01 20:06:34,393059232878,Product A,689.0
2024-06-02 00:09:57,Shipment,304-5681025-2697306,2024-06-02 15:42:35,2024-06-01 20:09:38,393028869760,Product A,563.0
2024-06-02 00:11:29,Shipment,504-0942749-8078960,2024-06-02 15:33:19,2024-06-01 20:11:12,393033084091,Product A,340.0
2024-06-02 00:17:52,Shipment,704-2019034-2032381,2024-06-02 15:42:35,2024-06-01 20:15:37,392013978017,Product A,728.0
2024-06-02 00:18:18,Shipment,804-1288702-3693764,2024-06-02 10:05:18,2024-06-01 20:05:59,393028221294,Product A,1683.0
2024-06-02 00:18:32,Shipment,404-8376129-9274334,2024-06-03 15:59:59,2024-06-01 20:17:53,392013005091,Product A,1420.0
2024-06-02 00:18:32,Shipment,404-8376129-9274334,2024-06-03 15:59:59,2024-06-01 20:17:53,392597044291,Product A,1258.0
2024-06-02 00:18:38,Shipment,204-0906014-2372229,2024-06-02 01:41:31,2024-06-01 20:18:05,393624007226,Product A,1080.0
2024-06-02 00:19:45,Shipment,404-6393864-3651738,2024-06-02 15:06:11,2024-06-01 06:36:29,393625075126,Product A,587.0
2024-06-02 00:19:47,Shipment,171-0802772-7351729,2024-06-02 15:23:16,2024-06-01 20:19:32,393049078766,Product A,646.0
2024-06-02 00:20:52,Cancel,171-5603812-3117905,,,392577799687,,0.0
2024-06-02 00:20:52,Shipment,171-5603812-3117905,2024-06-02 15:29:36,2024-06-01 20:14:15,392577799687,Product A,624.0
2024-06-02 00:23:57,Shipment,171-5376869-2459742,2024-06-02 04:02:35,2024-06-01 07:11:16,393577331935,Product A,572.0
2024-06-02 00:25:19,Shipment,604-0323480-1059590,2024-06-02 09:22:35,2024-06-01 20:20:22,393044195719,Product A,799.0
2024-06-02 00:27:08,Shipment,504-9367044-5432945,2024-06-02 03:41:35,2024-06-01 20:23:15,392055479770,Product A,632.0
2024-06-02 00:27:09,Shipment,171-5163361-5336136,2024-06-02 12:49:32,2024-06-01 17:08:56,392574683300,Product A,1235.0
2024-06-02 00:30:39,Shipment,204-0718926-8072464,2024-06-02 15:23:17,2024-06-01 20:26:29,392026597517,Product A,1102.0
2024-06-02 00:30:39,Refund,204-0718926-8072464,2024-06-02 15:23:17,2024-06-01 20:26:29,392026597517,Product A,-1102.0
2024-06-02 00:32:48,Shipment,204-6325537-2434619,2024-06-02 09:49:11,2024-06-01 20:32:44,393624620919,Product A,594.0
2024-06-02 00:33:12,Shipment,171-1227377-9055163,2024-06-02 15:52:39,2024-06-01 20:32:44,392611081831,Product A,363.0
2024-06-02 00:36:04,Shipment,171-7829878-9211002,2024-06-02 23:20:21,2024-06-01 20:35:48,392574033957,Product A,347.0
2024-06-02 00:37:18,Shipment,504-8746547-9576404,2024-06-02 12:47:37,2024-06-01 15:17:14,392034994230,Product A,1211.0
2024-06-02 00:39:54,Shipment,304-6469997-3159585,2024-06-02 17:15:36,2024-06-01 12:30:29,393608682031,Product A,1279.0
2024-06-02 00:43:24,Shipment,404-1045265-3015490,2024-06-03 15:53:18,2024-06-01 20:43:01,392055520106,Product A,393.0
2024-06-02 00:44:27,Shipment,704-9766691-7257697,2024-06-02 03:30:35,2024-06-01 19:59:12,393573978480,,347.0
2024-06-02 00:45:14,Cancel,404-0548353-3070522,,,393625528765,Product A,0.0
2024-06-02 00:45:14,Shipment,404-0548353-3070522,2024-06-03 15:50:46,2024-06-01 20:44:52,393625528765,Product A,642.0
2024-06-02 00:47:08,Shipment,704-2462555-4213301,2024-06-02 13:47:12,2024-06-01 20:37:34,393624907301,Product A,994.0
2024-06-02 00:47:08,Refund,704-2462555-4213301,2024-06-02 13:47:12,2024-06-01 20:37:34,393624907301,Product A,-994.0
2024-06-02 00:47:10,Shipment,204-8305710-7132989,2024-06-02 20:35:39,2024-06-01 17:57:45,393583336298,Product A,616.0
2024-06-02 00:47:10,Refund,204-8305710-7132989,2024-06-02 20:35:39,2024-06-01 17:57:45,393583336298,Product A,-616.0
